,Sick,Recovered,Deceased,Vaccinated,Immune,Susceptible
0,93,0,0,0,0,907
1,97,16,2,0,16,885
2,133,30,4,0,30,833
3,150,58,9,0,58,783
4,193,81,16,0,81,710
5,230,115,24,0,115,631
6,250,156,37,40,191,522
7,251,208,42,80,273,434
8,237,260,50,120,345,368
9,221,313,60,160,415,304
10,188,361,67,200,479,266
11,158,403,76,240,537,229
12,148,427,81,280,576,195
13,113,464,89,320,624,174
14,94,488,92,360,660,154
15,76,505,98,400,689,137
16,61,519,103,440,716,120
17,46,536,104,480,744,106
18,38,542,108,520,763,91
19,33,549,109,560,778,80
20,28,556,109,600,797,66
21,24,559,110,640,809,57
22,24,560,111,680,821,44
23,20,562,113,720,833,34
24,13,569,113,760,849,25
25,10,571,114,800,862,14
26,10,571,114,840,869,7
27,8,572,115,877,877,0
28,6,574,115,879,879,0
29,5,575,115,880,880,0
30,5,575,115,880,880,0
31,3,577,115,882,882,0
32,2,578,115,883,883,0
33,2,578,115,883,883,0
34,1,579,115,884,884,0
35,1,579,115,884,884,0
36,0,580,115,885,885,0
